Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
11925514,Code Name Verity,Elizabeth Wein,"Wein, Elizabeth",,"=""1405258217""","=""9781405258210""",0,4.02,Egmont Press,Paperback,452,2012,2012,,2020/10/16,to-read,to-read (#243),to-read,,,,0,,,0,,,,,
25614492,Salt to the Sea,Ruta Sepetys,"Sepetys, Ruta",,"=""0399160302""","=""9780399160301""",0,4.35,Philomel Books,Hardcover,391,2016,2016,,2020/10/16,to-read,to-read (#242),to-read,,,,0,,,0,,,,,
35604686,The Astonishing Color of After,Emily X.R. Pan,"Pan, Emily X.R.",,"=""031646399X""","=""9780316463997""",0,4.10,"Little, Brown Books for Young Readers",Hardcover,480,2018,2018,,2020/10/16,to-read,to-read (#241),to-read,,,,0,,,0,,,,,
25613472,A List of Cages,Robin Roe,"Roe, Robin",,"=""1484763807""","=""9781484763803""",0,4.28,Disney-Hyperion,Hardcover,310,2017,2017,,2020/10/16,to-read,to-read (#240),to-read,,,,0,,,0,,,,,
18584855,Heartless,Marissa Meyer,"Meyer, Marissa",,"=""1250044650""","=""9781250044655""",0,4.04,Feiwel & Friends,Hardcover,453,2016,2016,,2020/10/16,to-read,to-read (#239),to-read,,,,0,,,0,,,,,
18166936,The Strange and Beautiful Sorrows of Ava Lavender,Leslye Walton,"Walton, Leslye",,"=""0763665665""","=""9780763665661""",0,4.06,Candlewick Press,Hardcover,301,2014,2014,,2020/10/16,to-read,to-read (#238),to-read,,,,0,,,0,,,,,
11225698,The 5 Levels of Leadership: Proven Steps to Maximize Your Potential,John C. Maxwell,"Maxwell, John C.",,"=""159995365X""","=""9781599953656""",0,4.29,Center Street,Hardcover,304,2011,2011,,2020/10/15,"to-read, self-improvement","to-read (#237), self-improvement (#20)",to-read,,,,0,,,0,,,,,
590652,The Slight Edge,Jeff Olson,"Olson, Jeff",,"=""0967285550""","=""9780967285559""",0,4.38,Momentum Media,Paperback,168,2005,2005,,2020/10/15,"to-read, self-improvement","to-read (#236), self-improvement (#19)",to-read,,,,0,,,0,,,,,
6828896,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,"Hsieh, Tony",,"=""0446563048""","=""9780446563048""",0,4.01,Grand Central Publishing,Hardcover,246,2010,2010,,2020/10/15,"to-read, self-improvement","to-read (#235), self-improvement (#18)",to-read,,,,0,,,0,,,,,
6342995,The Score Takes Care of Itself: My Philosophy of Leadership,Bill   Walsh,"Walsh, Bill","Steve Jamison, Craig Walsh","=""1591842662""","=""9781591842668""",0,4.25,Portfolio Hardcover,Hardcover,288,2009,2009,,2020/10/15,"to-read, self-improvement","to-read (#234), self-improvement (#17)",to-read,,,,0,,,0,,,,,
38714388,The Dichotomy of Leadership: Balancing the Challenges of Extreme Ownership to Lead and Win,Jocko Willink,"Willink, Jocko",Leif Babin,"=""1250195780""","=""9781250195784""",0,4.39,St. Martin's Press,ebook,320,2018,,,2020/10/15,"to-read, self-improvement","to-read (#233), self-improvement (#16)",to-read,,,,0,,,0,,,,,
76865,Good to Great: Why Some Companies Make the Leap... and Others Don't,James C. Collins,"Collins, James C.",,"=""0066620996""","=""9780066620992""",0,4.11,Harper Business,Hardcover,300,2001,2001,,2020/10/15,"to-read, self-improvement","to-read (#232), self-improvement (#15)",to-read,,,,0,,,0,,,,,
1251,Leadership Is an Art,Max DePree,"DePree, Max",,"=""0385512465""","=""9780385512466""",0,4.00,Crown Business,Paperback,176,2004,1987,,2020/10/15,"to-read, self-improvement","to-read (#231), self-improvement (#14)",to-read,,,,0,,,0,,,,,
6452796,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,"Pink, Daniel H.",,"=""1594488843""","=""9781594488849""",0,3.95,Riverhead Books,Hardcover,242,2009,2009,,2020/10/15,"to-read, self-improvement","to-read (#230), self-improvement (#13)",to-read,,,,0,,,0,,,,,
16144853,Leaders Eat Last,Simon Sinek,"Sinek, Simon",,"=""1591845327""","=""9781591845324""",0,4.14,Portfolio,Hardcover,350,2014,2013,,2020/03/31,"to-read, self-improvement","to-read (#98), self-improvement (#12)",to-read,,,,0,,,0,,,,,
51931067,Felix Ever After,Kacen Callender,"Callender, Kacen",,"=""0062820257""","=""9780062820259""",0,4.46,Balzer + Bray,Hardcover,354,2020,2020,,2020/10/15,to-read,to-read (#229),to-read,,,,0,,,0,,,,,
66354,Flow: The Psychology of Optimal Experience,Mihaly Csikszentmihalyi,"Csikszentmihalyi, Mihaly",,"=""0060920432""","=""9780060920432""",0,4.11,Harper Perennial,Paperback,303,1990,1990,,2020/10/15,"to-read, self-improvement","to-read (#228), self-improvement (#11)",to-read,,,,0,,,0,,,,,
18077875,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,"McKeown, Greg",,"=""0804137382""","=""9780804137386""",0,4.04,Crown Business,Hardcover,260,2014,2011,,2020/10/15,"to-read, self-improvement","to-read (#227), self-improvement (#10)",to-read,,,,0,,,0,,,,,
3467088,The Power Of Less: The Fine Art of Limiting Yourself to the Essential,Leo Babauta,"Babauta, Leo",,"=""1401309704""","=""9781401309701""",0,3.78,Hachette Books,Hardcover,170,2009,2008,,2020/10/15,"to-read, self-improvement","to-read (#226), self-improvement (#9)",to-read,,,,0,,,0,,,,,
95887,Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,Brian Tracy,"Tracy, Brian",,"=""1576754227""","=""9781576754221""",0,3.88,Berrett-Koehler Publishers,Paperback,128,2007,2001,,2020/10/15,"to-read, self-improvement","to-read (#225), self-improvement (#8)",to-read,,,,0,,,0,,,,,
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""1455586692""","=""9781455586691""",0,4.20,Grand Central Publishing,Hardcover,296,2016,2016,,2020/03/16,"to-read, self-improvement","to-read (#51), self-improvement (#7)",to-read,,,,0,,,0,,,,,
25733966,Smarter Faster Better: The Secrets of Being Productive in Life and Business,Charles Duhigg,"Duhigg, Charles",,"=""081299339X""","=""9780812993394""",0,3.93,Random House,Hardcover,400,2016,2016,,2020/10/15,"to-read, self-improvement","to-read (#224), self-improvement (#6)",to-read,,,,0,,,0,,,,,
9420697,"The Compound Effect: Jumpstart Your Income, Your Life, Your Success",Darren Hardy,"Hardy, Darren",,"=""""","=""""",0,4.33,SUCCESS Books,Kindle Edition,162,,2010,,2020/05/21,"to-read, self-improvement","to-read (#137), self-improvement (#5)",to-read,,,,0,,,0,,,,,
16256798,The One Thing: The Surprisingly Simple Truth Behind Extraordinary Results,Gary Keller,"Keller, Gary",Jay Papasan,"=""1885167776""","=""9781885167774""",0,4.11,Bard Press (TX),Hardcover,240,2013,2013,,2020/10/15,"to-read, self-improvement","to-read (#223), self-improvement (#4)",to-read,,,,0,,,0,,,,,
1633,Getting Things Done: The Art of Stress-Free Productivity,David    Allen,"Allen, David",,"=""0142000280""","=""9780142000281""",0,3.99,Penguin Group,Paperback,267,2002,2001,,2020/10/15,"to-read, self-improvement","to-read (#222), self-improvement (#3)",to-read,,,,0,,,0,,,,,
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",0,4.35,Avery,Kindle Edition,319,2018,2018,,2020/04/02,"to-read, self-improvement","to-read (#101), self-improvement (#2)",to-read,,,,0,,,0,,,,,
